,DateTime,co2(ppm),humidity(%RH),barometric_pressure(hPa),Temperature [°C],hour,day,month,year
173,2023-06-30 17:51:42.956,475,91.0,1007.2,19.3,17,30,6,2023
174,2023-06-30 18:01:42.922,492,91.5,1007.0,19.3,18,30,6,2023
175,2023-06-30 18:11:42.893,499,92.0,1007.2,19.2,18,30,6,2023
176,2023-06-30 18:21:42.904,497,92.5,1007.3,19.1,18,30,6,2023
177,2023-06-30 18:31:42.858,508,92.5,1007.2,19.1,18,30,6,2023
178,2023-06-30 18:41:42.815,494,93.0,1007.2,19.1,18,30,6,2023
179,2023-06-30 18:51:44.511,516,93.0,1007.3,18.9,18,30,6,2023
180,2023-06-30 19:01:42.758,512,93.5,1007.4,18.7,19,30,6,2023
181,2023-06-30 19:11:42.725,507,93.5,1007.4,18.7,19,30,6,2023
182,2023-06-30 19:21:42.710,533,94.0,1007.6,18.8,19,30,6,2023
183,2023-06-30 19:31:42.644,526,94.5,1007.7,18.7,19,30,6,2023
184,2023-06-30 19:41:42.639,534,94.5,1007.8,18.7,19,30,6,2023
185,2023-06-30 19:51:42.655,571,95.0,1008.0,18.7,19,30,6,2023
186,2023-06-30 20:01:42.579,545,95.0,1008.1,18.7,20,30,6,2023
187,2023-06-30 20:11:42.563,547,95.0,1007.9,18.7,20,30,6,2023
188,2023-06-30 20:21:42.546,552,95.0,1007.9,18.7,20,30,6,2023
189,2023-06-30 20:31:42.515,556,95.0,1007.9,18.9,20,30,6,2023
190,2023-06-30 20:41:42.462,532,95.0,1007.8,18.8,20,30,6,2023
191,2023-06-30 20:51:42.447,544,95.0,1007.6,18.7,20,30,6,2023
192,2023-06-30 21:01:42.399,533,95.0,1007.5,18.6,21,30,6,2023
193,2023-06-30 21:11:42.393,531,95.5,1007.4,18.5,21,30,6,2023
194,2023-06-30 21:21:42.382,553,95.5,1007.4,18.5,21,30,6,2023
195,2023-06-30 21:31:42.325,532,95.5,1007.6,18.4,21,30,6,2023
196,2023-06-30 21:41:42.293,540,95.5,1007.6,18.3,21,30,6,2023
197,2023-06-30 21:51:42.277,552,95.5,1007.7,18.3,21,30,6,2023
198,2023-06-30 22:01:42.237,556,95.5,1007.7,18.3,22,30,6,2023
199,2023-06-30 22:11:42.209,551,95.5,1007.6,18.1,22,30,6,2023
200,2023-06-30 22:21:42.187,568,95.5,1007.5,18.1,22,30,6,2023
201,2023-06-30 22:31:42.140,573,96.0,1007.5,17.9,22,30,6,2023
202,2023-06-30 22:41:42.123,571,96.0,1007.4,17.9,22,30,6,2023
203,2023-06-30 22:51:42.107,561,96.0,1007.5,17.9,22,30,6,2023
204,2023-06-30 23:01:42.064,565,96.0,1007.4,17.9,23,30,6,2023
205,2023-06-30 23:11:42.044,553,96.0,1007.5,17.9,23,30,6,2023
206,2023-06-30 23:21:42.014,553,96.0,1007.5,18.0,23,30,6,2023
207,2023-06-30 23:31:41.990,574,96.0,1007.4,18.1,23,30,6,2023
208,2023-06-30 23:41:41.940,583,96.0,1007.3,18.1,23,30,6,2023
209,2023-06-30 23:51:41.928,542,96.0,1007.3,18.0,23,30,6,2023
210,2023-07-01 00:01:41.904,562,96.0,1007.3,17.9,0,1,7,2023
211,2023-07-01 00:11:41.869,565,96.0,1007.2,18.0,0,1,7,2023
212,2023-07-01 00:21:41.846,557,96.0,1007.2,18.0,0,1,7,2023
213,2023-07-01 00:31:41.819,548,96.0,1007.1,18.0,0,1,7,2023
214,2023-07-01 00:41:41.789,548,96.0,1006.9,17.9,0,1,7,2023
215,2023-07-01 00:51:41.789,542,96.0,1007.0,17.8,0,1,7,2023
216,2023-07-01 01:01:41.739,550,96.0,1007.1,17.9,1,1,7,2023
217,2023-07-01 01:11:41.703,549,96.0,1007.1,17.8,1,1,7,2023
218,2023-07-01 01:21:41.674,532,96.0,1007.0,17.9,1,1,7,2023
219,2023-07-01 01:31:41.645,534,96.0,1007.1,17.9,1,1,7,2023
220,2023-07-01 01:41:41.605,539,96.0,1006.8,17.9,1,1,7,2023
221,2023-07-01 01:51:41.575,542,96.0,1006.7,17.8,1,1,7,2023
222,2023-07-01 02:01:41.565,554,96.0,1006.7,17.8,2,1,7,2023
223,2023-07-01 02:11:41.531,544,96.0,1006.6,17.6,2,1,7,2023
224,2023-07-01 02:21:41.504,568,96.0,1006.6,17.3,2,1,7,2023
225,2023-07-01 02:31:41.490,572,96.0,1006.6,17.1,2,1,7,2023
226,2023-07-01 02:41:41.458,560,96.0,1006.8,17.0,2,1,7,2023
227,2023-07-01 02:51:41.397,573,96.5,1006.8,17.1,2,1,7,2023
228,2023-07-01 03:01:41.398,559,96.5,1006.7,17.2,3,1,7,2023
229,2023-07-01 03:11:41.362,581,96.5,1006.6,17.2,3,1,7,2023
230,2023-07-01 03:21:41.351,566,96.5,1006.6,17.0,3,1,7,2023
231,2023-07-01 03:31:41.306,581,96.5,1006.6,17.0,3,1,7,2023
232,2023-07-01 03:41:41.271,591,96.5,1006.5,16.9,3,1,7,2023
233,2023-07-01 03:51:41.299,568,97.0,1006.5,17.2,3,1,7,2023
234,2023-07-01 04:01:41.222,578,97.0,1006.5,17.5,4,1,7,2023
235,2023-07-01 04:11:41.193,572,97.0,1006.5,17.7,4,1,7,2023
236,2023-07-01 04:21:41.173,570,97.0,1006.4,17.9,4,1,7,2023
237,2023-07-01 04:31:41.145,563,97.0,1006.5,18.1,4,1,7,2023
238,2023-07-01 04:41:41.129,552,96.5,1006.5,18.2,4,1,7,2023
239,2023-07-01 04:51:41.065,536,95.5,1006.5,18.5,4,1,7,2023
240,2023-07-01 05:01:41.035,507,94.5,1006.5,18.5,5,1,7,2023
241,2023-07-01 05:11:41.019,503,93.5,1006.5,18.7,5,1,7,2023
242,2023-07-01 05:21:41.004,493,93.0,1006.5,19.1,5,1,7,2023
243,2023-07-01 05:31:40.970,510,91.5,1006.4,19.1,5,1,7,2023
244,2023-07-01 05:41:40.926,499,91.5,1006.4,19.3,5,1,7,2023
245,2023-07-01 05:51:40.890,495,90.5,1006.7,19.2,5,1,7,2023
246,2023-07-01 06:01:40.893,495,91.5,1006.8,19.0,6,1,7,2023
247,2023-07-01 06:11:40.841,503,92.0,1006.8,18.8,6,1,7,2023
248,2023-07-01 06:21:40.825,510,92.5,1006.9,18.9,6,1,7,2023
249,2023-07-01 06:31:40.759,497,92.5,1007.0,18.9,6,1,7,2023
250,2023-07-01 06:41:40.759,494,92.0,1007.1,19.0,6,1,7,2023
251,2023-07-01 06:51:40.727,505,91.5,1007.0,19.6,6,1,7,2023
252,2023-07-01 07:01:40.727,507,90.5,1007.1,19.8,7,1,7,2023
253,2023-07-01 07:11:40.674,495,90.5,1007.0,19.5,7,1,7,2023
254,2023-07-01 07:21:40.647,504,91.5,1007.1,19.2,7,1,7,2023
255,2023-07-01 07:31:40.610,510,91.5,1007.0,19.4,7,1,7,2023
256,2023-07-01 07:41:40.610,497,90.5,1007.0,19.7,7,1,7,2023
257,2023-07-01 07:51:40.557,484,89.0,1007.0,20.0,7,1,7,2023
258,2023-07-01 08:01:40.518,481,89.0,1007.1,20.1,8,1,7,2023
259,2023-07-01 08:11:40.504,490,88.5,1007.1,20.2,8,1,7,2023
260,2023-07-01 08:21:40.473,503,87.5,1007.1,20.0,8,1,7,2023
261,2023-07-01 08:31:40.446,491,88.0,1007.0,20.5,8,1,7,2023
262,2023-07-01 08:41:40.400,489,85.5,1006.9,21.2,8,1,7,2023
263,2023-07-01 08:51:40.414,509,83.5,1006.9,21.9,8,1,7,2023
264,2023-07-01 09:01:40.362,482,82.0,1006.7,23.4,9,1,7,2023
265,2023-07-01 09:11:40.319,473,73.5,1006.5,25.3,9,1,7,2023
266,2023-07-01 09:21:40.302,483,72.5,1006.4,25.7,9,1,7,2023
267,2023-07-01 09:31:40.269,483,69.0,1006.3,26.7,9,1,7,2023
268,2023-07-01 09:41:40.239,480,65.5,1006.1,27.4,9,1,7,2023
269,2023-07-01 09:51:40.191,471,63.5,1006.1,28.4,9,1,7,2023
270,2023-07-01 10:01:40.147,485,63.0,1006.0,28.1,10,1,7,2023
271,2023-07-01 10:11:40.142,472,65.0,1005.8,26.6,10,1,7,2023
272,2023-07-01 10:21:40.152,468,68.0,1005.7,26.4,10,1,7,2023
273,2023-07-01 10:31:40.106,500,64.0,1005.7,27.1,10,1,7,2023
