id,DateTime,Water_Sensor_name(Identifier),line_number,Water_volume_in_m3
34736,2023-07-01 08:19:54.850,TalkPool_OY1310_1,1,154
34746,2023-07-01 08:29:55.835,TalkPool_OY1310_1,1,154
34756,2023-07-01 08:39:56.335,TalkPool_OY1310_1,1,154
34766,2023-07-01 08:49:56.769,TalkPool_OY1310_1,1,154
34776,2023-07-01 08:59:57.665,TalkPool_OY1310_1,1,154
34786,2023-07-01 09:09:57.674,TalkPool_OY1310_1,1,154
34796,2023-07-01 09:19:57.122,TalkPool_OY1310_1,1,154
34806,2023-07-01 09:29:57.194,TalkPool_OY1310_1,1,154
34816,2023-07-01 09:39:58.169,TalkPool_OY1310_1,1,154
34826,2023-07-01 09:49:59.011,TalkPool_OY1310_1,1,154
34836,2023-07-01 09:59:59.026,TalkPool_OY1310_1,1,154
34846,2023-07-01 10:09:58.532,TalkPool_OY1310_1,1,154
34856,2023-07-01 10:19:58.653,TalkPool_OY1310_1,1,154
34866,2023-07-01 10:29:58.128,TalkPool_OY1310_1,1,154
34875,2023-07-01 10:39:58.243,TalkPool_OY1310_1,1,154
34885,2023-07-01 10:49:58.523,TalkPool_OY1310_1,1,154
34895,2023-07-01 10:59:57.738,TalkPool_OY1310_1,1,154
34905,2023-07-01 11:09:57.668,TalkPool_OY1310_1,1,154
34915,2023-07-01 11:19:56.743,TalkPool_OY1310_1,1,154
34925,2023-07-01 11:29:56.975,TalkPool_OY1310_1,1,154
34935,2023-07-01 11:39:57.163,TalkPool_OY1310_1,1,154
34945,2023-07-01 11:49:56.753,TalkPool_OY1310_1,1,154
34955,2023-07-01 11:59:56.123,TalkPool_OY1310_1,1,154
34965,2023-07-01 12:09:55.783,TalkPool_OY1310_1,1,154
34984,2023-07-01 12:29:54.153,TalkPool_OY1310_1,1,154
34994,2023-07-01 12:39:54.421,TalkPool_OY1310_1,1,154
35004,2023-07-01 12:49:55.137,TalkPool_OY1310_1,1,154
35014,2023-07-01 12:59:54.583,TalkPool_OY1310_1,1,154
35025,2023-07-01 13:09:55.232,TalkPool_OY1310_1,1,154
35035,2023-07-01 13:19:54.352,TalkPool_OY1310_1,1,154
35045,2023-07-01 13:29:53.527,TalkPool_OY1310_1,1,154
35055,2023-07-01 13:39:54.082,TalkPool_OY1310_1,1,154
